Park_Name,Park_Code,State,City,Phone,Email,Monday_Hours,Website_URL,Description
Glacier Bay National Park & Preserve,glba,AK,Gustavus,9076972230,glba_administration@nps.gov,All Day,https://www.nps.gov/glba/index.htm,"Covering 3.3 million acres of rugged mountains, dynamic glaciers, temperate rainforest, wild coastlines and deep sheltered fjords, Glacier Bay National Park and Preserve is known as Homeland to the Huna and Yakutat Lingít, and is a highlight of Alaska's Inside Passage. From sea to summit, Glacier Bay offers limitless opportunities for adventure and inspiration."
Glacier National Park,glac,MT,West Glacier,406-888-7800,glac_questions@nps.gov,All Day,https://www.nps.gov/glac/index.htm,"A showcase of melting glaciers, alpine meadows, carved valleys, and spectacular lakes. With over 700 miles of trails, Glacier is a paradise for adventurous visitors seeking a landscape steeped in human culture. Relive the days of old through historic chalets, lodges, and the famous Going-to-the-Sun Road."
Grand Canyon National Park,grca,AZ,Grand Canyon,928-638-7888,grca_information@nps.gov,All Day,https://www.nps.gov/grca/index.htm,"Entirely within the state of Arizona, the park encompasses 278 miles (447 km) of the Colorado River and adjacent uplands. Located on the ancestral homelands of 11 present day Tribal Communities, Grand Canyon is one of the most spectacular examples of erosion anywhere in the world—a mile deep canyon unmatched in the incomparable vistas it offers visitors from both north and south rims."
Grand Teton National Park,grte,WY,Moose,307-739-3399,grte_info@nps.gov,All Day,https://www.nps.gov/grte/index.htm,"Soaring over a landscape rich with wildlife, pristine lakes, and majestic alpine vistas, the Teton Range stands as a testament to generations of stewards. For over 11,000 years, communities have thrived in the valley known as Jackson Hole, turning these mountains into more than just peaks—they embody imagination and enduring human connection."
Great Basin National Park,grba,NV,Baker,775-234-7331,grba_interpretation@nps.gov,All Day,https://www.nps.gov/grba/index.htm,"From the 13,063-foot summit of Wheeler Peak to the sagebrush-covered foothills, Great Basin National Park hosts a sample of the incredible diversity of the larger Great Basin region. Come and partake of the solitude of the wilderness, walk among ancient bristlecone pines, bask in the darkest of night skies, and explore mysterious subterranean passages. There's a lot more than just desert here."
Great Sand Dunes National Park & Preserve,grsa,CO,Mosca,(719) 378-6395,grsa_interpretation@nps.gov,All Day,https://www.nps.gov/grsa/index.htm,"The tallest dunes in North America are the centerpiece in a diverse landscape of grasslands, wetlands, forests, alpine lakes, and tundra. Stay on a moonless night to experience countless stars in this International Dark Sky Park! Open 24 hours a day, 7 days a week year-round. There are no timed entries or reservations to visit."
Great Smoky Mountains National Park,grsm,TN,Gatlinburg,(865)436-1200,GRSM_Smokies_Information@nps.gov,All Day,https://www.nps.gov/grsm/index.htm,"Ridge upon ridge of forest straddles the border between North Carolina and Tennessee in Great Smoky Mountains National Park. World renowned for its diversity of plant and animal life, the beauty of its ancient mountains, and the quality of its remnants of Southern Appalachian mountain culture, this is America's most visited national park. Plan your visit today!"
Guadalupe Mountains National Park,gumo,TX,Salt Flat,915-828-3251,gumo_information@nps.gov,All Day,https://www.nps.gov/gumo/index.htm,"Come experience mountains and canyons, desert and dunes, night skies and spectacular vistas within a place unlike any other. Guadalupe Mountains National Park protects the world's most extensive Permian fossil reef, the four highest peaks in Texas, an environmentally diverse collection of flora and fauna, and the stories of lives shaped through conflict, cooperation and survival."
Haleakalā National Park,hale,HI,Kula,8085724400,hale_interpretation@nps.gov,All Day,https://www.nps.gov/hale/index.htm,"This special place vibrates with stories of ancient and modern Hawaiian culture and protects the bond between the land and its people. The park also cares for endangered species, some of which exist nowhere else. Come visit this special place - renew your spirit amid stark volcanic landscapes and sub-tropical rain forest with an unforgettable hike through the backcountry."
Hawaiʻi Volcanoes National Park,havo,HI,Hawaii National Park,8089856011,havo_information@nps.gov,All Day,https://www.nps.gov/havo/index.htm,"Hawai‘i Volcanoes National Park protects some of the most unique geological, biological, and cherished cultural landscapes in the world. Extending from sea level to 13,680 feet, the park encompasses the summits of two of the world's most active volcanoes - Kīlauea and Mauna Loa - and is a designated International Biosphere Reserve and UNESCO World Heritage Site."
Hot Springs National Park,hosp,AR,Hot Springs,5016206715,hosp_park_information@nps.gov,5:00AM - 10:00PM,https://www.nps.gov/hosp/index.htm,"Hot Springs National Park has a rich cultural past. The grand architecture of our historic bathhouses is equally matched by the natural curiosities that have been drawing people here for hundreds of years. Ancient thermal springs, mountain views, incredible geology, forested hikes, and abundant creeks – all in the middle of town – make Hot Springs National Park a unique and beautiful destination."
Indiana Dunes National Park,indu,IN,Porter,2193951882,indu_communications@nps.gov,6:00AM - 11:00PM,https://www.nps.gov/indu/index.htm,"Lake Michigan's might has influenced Indiana Dunes for millennia. Wind and waves have shaped the land, leaving a rich mosaic of habitats along these 15 miles of Indiana coast. Over 50 miles of trails lead through shifting sand dunes, quiet woodlands, sunny prairies and lush wetlands. Known for its striking plant and bird diversity, it's easy to find inspiration throughout the park’s 16,000 acres."
Isle Royale National Park,isro,MI,Houghton,9064820984,isro_parkinfo@nps.gov,All Day (Park Closes During Winter - See Website For Dates),https://www.nps.gov/isro/index.htm,"Explore a rugged, isolated island far from our connected communities. Isle Royale offers adventures for backpackers, hikers, boaters, paddlers, and divers. Cross Lake Superior and make a commitment: Become a part of this island, and let it become a part of you. Find peace and refuge in island wilderness – because Isle Royale, in turn, finds refuge in us. Help Isle Royale stay wild."
Joshua Tree National Park,jotr,CA,Twentynine Palms,7603675500,jotr_info@nps.gov,All Day,https://www.nps.gov/jotr/index.htm,"Two distinct desert ecosystems, the Mojave and the Colorado, come together in Joshua Tree National Park. A fascinating variety of plants and animals make their homes in a land sculpted by strong winds and occasional torrents of rain. Dark night skies, a rich cultural history, and surreal geologic features add to the wonder of this vast wilderness in southern California. Come explore for yourself!"
Katmai National Park & Preserve,katm,AK,King Salmon,9072463305,KATM_Visitor_Information@nps.gov,All Day,https://www.nps.gov/katm/index.htm,"A landscape is alive underneath our feet, filled with creatures that remind us what it is to be wild. Katmai was established in 1918 to protect the volcanically devastated region surrounding Novarupta and the Valley of Ten Thousand Smokes. Today, Katmai National Park and Preserve also protects 9,000 years of human history and important habitat for salmon and thousands of brown bears."
Kenai Fjords National Park,kefj,AK,Seward,9073182040,kefjinformation@nps.gov,All Day,https://www.nps.gov/kefj/index.htm,"At the edge of the Kenai Peninsula lies a land where the ice age lingers. Nearly 40 glaciers flow from the Harding Icefield, Kenai Fjords' crowning feature. Wildlife thrives in icy waters and lush forests along the fjords once carved by the vast expanse of ice. Today, shrinking glaciers bear witness to the effects of our changing climate."
Kobuk Valley National Park,kova,AK,Kotzebue,9073182230,wear_webmail@nps.gov,All Day,https://www.nps.gov/kova/index.htm,"Caribou, sand dunes, the Kobuk River, Onion Portage - just some of the facets of Kobuk Valley National Park. Thousands of caribou migrate through, their tracks crisscrossing sculpted dunes. The Kobuk River is an ancient and current corridor for people and wildlife. For 9000 years, people came to Onion Portage to harvest caribou as they swam the river. Even today, that rich tradition continues."
Lake Clark National Park & Preserve,lacl,AK,Port Alsworth,9076443626,lacl_visitor_information@nps.gov,All Day,https://www.nps.gov/lacl/index.htm,"Lake Clark National Park and Preserve is a land of stunning beauty. Volcanoes steam, salmon run, bears forage, and craggy mountains reflect in shimmering turquoise lakes. Here, too, local people and culture still depend on the land and water. Venture into the park to become part of the wilderness."
Lassen Volcanic National Park,lavo,CA,Mineral,530 595 6100,lavo_information@nps.gov,All Day,https://www.nps.gov/lavo/index.htm,"Lassen Volcanic National Park is home to steaming fumaroles, meadows freckled with wildflowers, clear mountain lakes, and numerous volcanoes. Jagged peaks tell the story of its eruptive past while hot water continues to shape the land."
Mammoth Cave National Park,maca,KY,Mammoth Cave,2707582180,maca_information@nps.gov,All Day,https://www.nps.gov/maca/index.htm,"Rolling hills, deep river valleys, and the world's longest known cave system. Mammoth Cave National Park is home to thousands of years of human history and a rich diversity of plant and animal life, earning it the title of UNESCO World Heritage Site and International Biosphere Region."
Mesa Verde National Park,meve,CO,Mancos,970-529-4465,meve_general_information@nps.gov,All Day,https://www.nps.gov/meve/index.htm,"For over 700 years, the Ancestral Pueblo people built thriving communities on the mesas and in the cliffs of Mesa Verde. Today, the park protects the rich cultural heritage of 27 Pueblos and Tribes and offers visitors a spectacular window into the past. This World Heritage Site and International Dark Sky Park is home to over a thousand species, including several that live nowhere else on earth."
Mount Rainier National Park,mora,WA,Ashford,3605692211,morainfo@nps.gov,All Day,https://www.nps.gov/mora/index.htm,"Ascending to 14,410 feet above sea level, Mount Rainier stands as an icon in the Washington landscape. An active volcano, Mount Rainier is the most glaciated peak in the contiguous U.S.A., spawning five major rivers. Subalpine wildflower meadows ring the icy volcano while ancient forest cloaks Mount Rainier’s lower slopes. Wildlife abounds in the park’s ecosystems. A lifetime of discovery awaits."
National Park of American Samoa,npsa,AS,Pago Pago,6846337085,npsa_info@nps.gov,8:00AM - 3:00PM,https://www.nps.gov/npsa/index.htm,"The National Park of American Samoa invites you to discover the vibrant culture and stunning landscapes of the South Pacific. Experience a world unlike any other, where natural beauty and cultural heritage are protected for future generations. Join us in exploring these islands of sacred earth!"
New River Gorge National Park & Preserve,neri,WV,Glen Jean,304-465-0508,neri_interpretation@nps.gov,All Day,https://www.nps.gov/neri/index.htm,"A rugged, whitewater river flowing northward through deep canyons, the New River is among the oldest rivers on the continent. The park encompasses over 70,000 acres of land along the New River, is rich in cultural and natural history, and offers an abundance of scenic and recreational opportunities."
North Cascades National Park,noca,WA,Sedro-Woolley,3608547200,noca_information@nps.gov,All Day,https://www.nps.gov/noca/index.htm,"Less than three hours from Seattle, an alpine landscape beckons. Discover communities of life adapted to moisture in the west and recurring fire in the east. Explore jagged peaks crowned by more than 300 glaciers. Listen to cascading waters in forested valleys. Witness a landscape sensitive to the Earth's changing climate. Help steward the ecological heart of the Cascades."
Olympic National Park,olym,WA,Port Angeles,3605653130,olym_visitor_center@nps.gov,All Day,https://www.nps.gov/olym/index.htm,"With its incredible range of precipitation and elevation, diversity is the hallmark of Olympic National Park. Encompassing nearly a million acres, the park protects a vast wilderness, thousands of years of human history, and several distinctly different ecosystems, including glacier-capped mountains, old-growth temperate rain forests, and over 70 miles of wild coastline. Come explore!"
Petrified Forest National Park,pefo,AZ,Petrified Forest,928-524-6822,PEFO_information@nps.gov,8:00AM - 5:00PM,https://www.nps.gov/pefo/index.htm,"Park Hours: 8am to 5pm, MST. Don't forget that Arizona does not observe Daylight Savings. Petrified Forest is best known for its Triassic fossils. It's like having two parks in one, an ecosystem over 200 million years old with plants and animals now represented in the surreal landscape of the Painted Desert. There is also a living park with its own denizens adapted to a demanding environment."
Pinnacles National Park,pinn,CA,Paicines,8313894486,pinn_visitor_information@nps.gov,All Day,https://www.nps.gov/pinn/index.htm,"Around 23 million years ago, a series of volcanic eruptions shaped the landscape that is now Pinnacles National Park. The remnants of these ancient eruptions have formed a striking terrain of rocky spires and deep canyons. Visitors can explore diverse environments, from chaparral and oak woodlands to the cool, shaded depths of canyon floors."
Redwood National and State Parks,redw,CA,Crescent City,7074646101,redw_info@nps.gov,All Day,https://www.nps.gov/redw/index.htm,"Renowned for the world’s tallest trees, Redwood’s landscapes span from open prairies and oak woodlands to pristine rivers and untamed coastline. This ancient home has supported people for thousands of years. The National Park Service and California State Parks now work to safeguard and rejuvenate these lands for everyone’s enjoyment, learning, and inspiration."
Rocky Mountain National Park,romo,CO,Estes Park,9705861206,romo_information@nps.gov,All Day,https://www.nps.gov/romo/index.htm,"Rocky Mountain National Park's 415 square miles (265,807 acres) encompasses a spectacular range of mountain environments. From meadows found in the montane life zone to glistening alpine lakes and up to the towering mountain peaks, there is something for everyone to discover. Along the way explore over 300 miles of hiking trails and incredible wildlife viewing."
Roosevelt Campobello International Park,roca,,Welshpool,5067522922,info@fdr.net,Sunrise to Sunset,https://www.nps.gov/roca/index.htm,"For many years, Franklin D. Roosevelt summered on Campobello Island. As an adult, he shared with his family the same active pursuits he enjoyed on the island as child. Although he visited less frequently after contracting polio, Campobello remained important to FDR. Today Roosevelt Campobello International Park serves as a memorial to FDR and a symbol of cooperation between the U.S. and Canada."
Saguaro National Park,sagu,AZ,Tucson,5207335153,sagu_information@nps.gov,All Day,https://www.nps.gov/sagu/index.htm,"Tucson, Arizona is home to the nation's largest cacti. The giant saguaro is the universal symbol of the American west. These majestic plants, found only in a small portion of the United States, are protected by Saguaro National Park, to the east and west of the modern city of Tucson. Here you have a chance to see these enormous cacti, silhouetted by the beauty of a magnificent desert sunset."
Sequoia & Kings Canyon National Parks,seki,CA,Three Rivers,5595653341,SEKI_information@nps.gov,All Day,https://www.nps.gov/seki/index.htm,"Huge mountains, rugged foothills, deep canyons, vast caverns, and the world’s largest trees exemplify the diversity of landscapes, life, and beauty here. Explore these pages to plan your visit or to learn about the plants and animals here and the threats they face. Ancient giant sequoias may seem invincible, but they, too are vulnerable."
Shenandoah National Park,shen,VA,Luray,5409993500,shen_info@nps.gov,All Day,https://www.nps.gov/shen/index.htm,"Just 75 miles from the bustle of Washington, D.C., Shenandoah National Park is a land bursting with cascading waterfalls, spectacular vistas, fields of wildflowers, and quiet wooded hollows. With over 200,000 acres of protected lands that are haven to deer, songbirds, and black bear, there's so much to explore...and your journey begins right here!"
Theodore Roosevelt National Park,thro,ND,Medora,7016234466,thro_interpretation@nps.gov,All Day,https://www.nps.gov/thro/index.htm,"When Theodore Roosevelt came to Dakota Territory to hunt bison in 1883, he was a skinny, young, spectacled dude from New York. He could not have imagined how his adventure in this remote and unfamiliar place would forever alter the course of the nation. The rugged landscape and strenuous life that TR experienced here would help shape a conservation policy that we still benefit from today."
Virgin Islands National Park,viis,VI,St. John,3407766201,viis_interpretation@nps.gov,8:15AM - 4:00PM,https://www.nps.gov/viis/index.htm,"Go beyond Virgin Islands National Park's stunning white-sand beaches. Hike to historic plantation sites to learn about a challenging past when sugar and enslaved labor dominated life on the island. Visit the Indigenous Taino's ancient petroglyphs. Snorkel coral reefs to discover hidden marine life. Two-thirds of the island of St. John is national park, making it a unique destination for visitors."
Voyageurs National Park,voya,MN,International Falls,(218)-283-6600,VOYA_info@nps.gov,All Day,https://www.nps.gov/voya/index.htm,"Voyageurs National Park spans 218,000 acres of lakes, forests, and streams in northern Minnesota. Established in 1975, the park is named after the French-Canadian Voyageurs who once navigated these abundant waters. Voyageurs National Park provides exceptional opportunities for recreation and exploration amidst landscapes rich in natural beauty, history, and cultural heritage."
White Sands National Park,whsa,NM,Alamogordo,5754796124,whsa_interpretation@nps.gov,7:00AM - Sunset,https://www.nps.gov/whsa/index.htm,"Rising from the heart of the Tularosa Basin is one of the world's great natural wonders - the glistening white sands of New Mexico. Great wave-like dunes of gypsum sand have engulfed 275 square miles of desert, creating the world's largest gypsum dunefield. White Sands National Park preserves a major portion of this unique dunefield, along with the plants and animals that live here."
Wind Cave National Park,wica,SD,Hot Springs,6057454600,WICA_interpretation@nps.gov,All Day,https://www.nps.gov/wica/index.htm,"Wind Cave National Park protects two very different worlds - one deep within the earth, the other a sunlit world of many resources. Bison, elk, and other wildlife roam the rolling prairie grasslands and forested hillsides of one of America's oldest national parks. Below the remnant island of intact prairie sits Wind Cave, one of the longest and most complex caves in the world."
Wrangell - St Elias National Park & Preserve,wrst,AK,Copper Center,9078225234,wrst_info@nps.gov,All Day,https://www.nps.gov/wrst/index.htm,"Wrangell-St. Elias is a vast national park that rises from the ocean all the way up to 18,008 ft. At 13.2 million acres, the park is the same size as Yellowstone National Park, Yosemite National Park, and Switzerland combined! Within this wild landscape, people continue to live off the land as they have done for centuries. This rugged, beautiful land is filled with opportunities for adventure."
Yellowstone National Park,yell,WY,Yellowstone National Park,307-344-7381,YELL_Information@nps.gov,All Day,https://www.nps.gov/yell/index.htm,"On March 1, 1872, Yellowstone became the first national park for all to enjoy the unique hydrothermal wonders. Today, millions of people come here each year to camp, hike, and enjoy the majesty of the park."
Yosemite National Park,yose,CA,Yosemite National Park,209/372-0200,yose_web_manager@nps.gov,All Day,https://www.nps.gov/yose/index.htm,"Not just a great valley, but a shrine to human foresight, the strength of granite, the power of glaciers, the persistence of life, and the tranquility of the High Sierra. First protected in 1864, Yosemite National Park is best known for its waterfalls, but within its nearly 1,200 square miles, you can find deep valleys, grand meadows, ancient giant sequoias, a vast wilderness area, and much more."
Zion National Park,zion,UT,Springdale,435-772-3256,zion_park_information@nps.gov,All Day,https://www.nps.gov/zion/index.htm,"Follow the paths where people have walked for thousands of years. Gaze up at massive sandstone cliffs of cream, pink, and red that soar into a brilliant blue sky. Experience the tall, stretching walls of a narrow slot canyon. Zion’s unique array of plants and animals will enchant you as you absorb the rich history of the past and enjoy the excitement of present-day adventures."
